Frequency,1,2,3,4
2412,15,15,15,15
2417,15,15,15,15
2422,15,15,15,15
2427,15,15,15,15
2432,15,15,15,15
2437,15,15,15,15
2442,15,15,15,15
2447,15,15,15,15
2452,15,15,15,15
2457,15,15,15,15
2462,15,15,15,15
2467,15,15,15,15
2472,15,15,15,15
