Type,Band,BW,CH,ANT0,ANT1,ANT2,ANT3
5GNR,n41,100M,3450,-0.9,-0.9,-0.9,-0.9
5GNR,n41,100M,3500,-0.9,-0.9,-0.9,-0.9
5GNR,n41,100M,3550,-0.9,-0.9,-0.9,-0.9
