IQ_ROUT,12,IQ_PORT,1B
FREQ,IQ_VSG_POWER,POWER_METER_RESULT
2412,0,-24.377
2437,0,-24.044
2472,0,-23.883
5180,0,-26.025
5210,0,-26.083
5270,0,-25.813
5500,0,-26.210
5530,0,-26.310
5670,0,-26.357
5775,0,-26.180
5825,0,-26.426
