IQ_ROUT,12,IQ_PORT,1B
FREQ,IQ_VSG_POWER,POWER_METER_RESULT
2412,0,-2.107
2437,0,-1.865
2472,0,-2.045
5180,0,-2.654
5210,0,-2.712
5270,0,-2.535
5500,0,-2.876
5530,0,-2.665
5670,0,-2.652
5775,0,-2.982
5825,0,-3.022
