IQ_ROUT,12,IQ_PORT,1B
FREQ,IQ_VSG_POWER,POWER_METER_RESULT
2412,0,-24.078
2437,0,-23.973
2472,0,-24.195
5180,0,-26.217
5210,0,-26.056
5270,0,-25.864
5500,0,-26.315
5530,0,-26.477
5670,0,-26.313
5775,0,-26.529
5825,0,-26.408
