IQ_ROUT,12,IQ_PORT,1B
FREQ,IQ_VSG_POWER,POWER_METER_RESULT
2412,0,-23.740
2437,0,-23.957
2472,0,-23.888
5180,0,-26.095
5210,0,-26.155
5270,0,-25.972
5500,0,-26.272
5530,0,-26.151
5670,0,-26.392
5775,0,-26.565
5825,0,-26.683
