IQ_ROUT,12,IQ_PORT,1B
FREQ,IQ_VSG_POWER,POWER_METER_RESULT
2412,0,-23.917
2437,0,-23.940
2472,0,-23.905
5180,0,-26.150
5210,0,-25.998
5270,0,-25.883
5500,0,-26.488
5530,0,-26.434
5670,0,-26.309
5775,0,-26.218
5825,0,-26.598
